Complexity,Loss,Equation
1,3.786715841035865,"0.6302297627920106"
2,3.566355745312758,"cos(x4)"
3,1.0498341656944798,"(x1 * x1)"
5,0.5428544769580125,"((x1 * x1) + -0.7120250618838316)"
7,0.5332288323853932,"((x1 * (x1 / 1.054392669131509)) + -0.642782525847656)"
11,0.5332288323853931,"((((x1 * (x1 / 1.1349439445954974)) + -0.7703829546763391) * 1.076395898439392) - -0.18645452711305763)"
15,0.5332288323853929,"((((((x1 * (x1 / 1.303294142630258)) + -0.5756663676392436) * 1.4329311400879738) - -0.24729243482994082) * 0.8626105092548044) + -0.14454056776535662)"
